CODIGO|DESCRIPCION
A|AGRICULTURA, GANADERIA, CAZA, SILVICULTURA Y PEZCA 
01|AGRICULTURA, GANADERIA, CAZA Y ACTIVIDADES DE APOYO 
011|Cultivo de cosechas no perennes 
0111 0|Cultivo de arroz 
0112|Cultivo de cereales, plantas leguminosas y semillas oleaginosas (excepto arroz) 
0112 1|Cultivo de soja 
0112 2|Cultivo de maíz 
0112 3|Cultivo de trigo 
0112 4|Cultivo de girasol 
0112 5|Cultivo de sésamo 
0112 6|Cultivo de legumbres 
0112 9|Cultivo de otros cereales y otras semillas oleaginosas n.c.p. 
0113|Cultivo de hortalizas y melones, raíces y tubérculos 
0113 1|Cultivo de mandioca, papa y batata 
0113 2|Cultivo de bulbos, brotes, raíces y hortalizas de fruto 
0113 3|Cultivo de hortalizas de hoja y de otras hortalizas frescas 
0114 0|Cultivo de caña de azúcar 
0115 0|Cultivo de tabaco 
0116|Cultivo de fibras vegetales 
0116 1|Cultivo de algodón 
0116 9|Cultivo de otras fibras vegetales 
0119|Cultivo de otras cosechas no perennes n.c.p. 
0119 1|Cultivo de forrajes 
0119 2|Cultivo de flores 
0119 9|Cultivo de otras cosechas no perennes n.c.p. 
012|Cultivo de cosechas perennes 
0121 0|Cultivo de uvas 
0122|Cultivo de frutas tropicales y subtropicales 
0122 1|Cultivo de piña 
0122 2|Cultivo de banana 
0122 3|Cultivo de mango 
0122 4|Cultivo de mburucuya 
0122 9|Cultivo de otras frutas tropicales y subtropicales n.c.p. 
0123|Cultivo de cítricos 
0123 1|Cultivo de naranja 
0123 2|Cultivo de mandarina 
0123 3|Cultivo de limón 
0123 4|Cultivo de pomelo 
0123 5|Cultivo de naranjo agrio 
0123 9|Cultivo de otras frutas cítricas n.c.p. 
0124 0|Cultivo de frutas con pepita y con hueso 
0125 0|Cultivo de otras frutas y frutos secos arbóreos y de arbustos 
0126 0|Cultivo de frutos oleaginosos 
0127|Cultivo de plantas para preparar bebidas 
0127 1|Cultivo de yerba mate 
0127 2|Cultivo de té 
0127 3|Cultivo de café 
0127 9|Cultivo de cacao y de otras plantas para elaboración de bebidas n.c.p. 
0128 0|Cultivo de especias y plantas aromáticas, medicinales y farmacéuticas 
0129|Cultivo de otras cosechas perennes n.c.p. 
	
0129 1|Cultivo de estévia 
0129 9|Cultivo de otras cosechas perennes n.c.p. 
013|Propagación de plantas 
0130 0|Propagación de plantas 
014|Producción pecuaria 
0141|Cría de ganado vacuno 
0141 1|Cría de ganado vacuno con destino a la producción de carne 
0141 2|Cría de ganado vacuno lechero 
0141 9|Otras producciones de ganados vacunos n.c.p 
0142 0|Cría de ganado equino 
0143 0|Cría de camellos y camélidos 
0144 0|Cría de ganado ovino y caprino 
0145 0|Cría de ganado porcino 
0146|Cría de aves de corral 
0146 1|Cría de aves de corral 
0146 2|Producción de huevos 
0149|Cría de otros animales n.c.p. 
0149 1|Apicultura 
0149 2|Cunicultura 
0149 9|Cría de otros animales n.c.p. 
015|Cultivo de productos agrícolas en combinación con la cría de animales 
0150 0|Cultivo de productos agrícolas en combinación con la cría de animales 
016|Actividades de apoyo a la agricultura y las actividades posteriores a la recolección de cultivos 
0161|Actividades de apoyo a la producción agrícola 
0161 1|Servicios de fumigación y riego 
0161 2|Servicios de provisión de maquinaria agrícola con operarios y personal 
0161 3|Actividades posteriores a la cosecha 
0161 4|Procesamiento de semillas para la propagación 
0161 9|Otros servicios de apoyo a la agricultura n.c.p 
0162|Actividades de apoyo a la producción pecuaria 
0162 1|Servicios de esquila 
0162 2|Servicios de inseminación artificial 
0162 9|Otros servicios de apoyo a la ganadería n.c.p. 
017|Caza ordinaria y mediante trampas y servicios conexos 
0170 0|Caza ordinaria y mediante trampas y servicios conexos 
019|Agricultura, ganadería y caza n.c.p. 
0190|Agricultura, ganadería y caza n.c.p. 
0190 1|Cooperativa de produccion agropecuaria. 
0190 9|Otras actividades de agricultura, ganadería y caza n.c.p. 
02|SILVICULTURA, EXTRACCIÓN DE MADERA Y ACTIVIDADES DE APOYO 
021|Silvicultura y otras actividades relacionadas a la silvicultura 
0210|Silvicultura y otras actividades relacionadas a la silvicultura 
0210 1|Viveros de árboles forestales 
0210 2|Explotación de bosques 
0210 3|Actividades de forestación y reforestación 
022|Extracción de madera 
0220|Extracción de madera 
0220 1|Producción de leña 
0220 9|Extracción de madera para la producción de otros artículos n.c.p. 
023|Recolección de productos forestales diferentes a la madera 
0230 0|Recolección de productos forestales diferentes a la madera 
024|Servicios de apoyo a la silvicultura 
0240 0|Servicios de apoyo a la silvicultura 
	
03|PESCA, ACUICULTURA Y ACTIVIDADES DE APOYO 
031|Pesca 
0311 0|Pesca marítima 
0312 0|Pesca de agua dulce 
032|Acuicultura 
0321 0|Acuicultura marítima 
0322 0|Acuicultura de agua dulce 
B|EXPLOTACIÓN DE MINAS Y CANTERAS 
05|EXTRACCIÓN DE CARBÓN Y LIGNITO 
051|Extracción y aglomeración de hulla 
0510 0|Extracción y aglomeración de hulla 
052|Extracción y aglomeración de lignito 
0520 0|Extracción y aglomeración de lignito 
06|EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL 
061|Extracción de petróleo crudo 
0610 0|Extracción de petróleo crudo 
062|Extracción de gas natural 
0620 0|Extracción de gas natural 
07|EXTRACCIÓN DE MINERALES METALÍFEROS 
071|Extracción de minerales de hierro 
0710 0|Extracción de minerales de hierro 
072|Extracción de minerales metalíferos no ferrosos 
0721 0|Extracción de minerales de uranio y torio 
0729 0|Extracción de otros minerales metalíferos no ferrosos n.c.p. 
08|EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS 
081|Extracción de piedra, arena y arcilla 
0810|Extracción de piedra, arena y arcilla 
0810 1|Extracción de arena, piedra triturada y canto rodado 
0810 2|Extracción de arcilla y caolín 
0810 3|Extracción de piedra caliza y yeso 
0810 4|Extracción de rocas ornamentales 
089|Explotación de otras minas y canteras n.c.p. 
0891 0|Extracción de minerales para la fabricación de abonos y productos químicos 
0892 0|Extracción y aglomeración de turba 
0893 0|Extracción de sal 
0899 0|Explotación de otras minas y canteras n.c.p. 
09|ACTIVIDADES DE APOYO A LA EXPLOTACIÓN DE MINAS Y CANTERAS 
091|Actividades de apoyo a la extracción de petróleo y gas natural 
0910 0|Actividades de apoyo a la extracción de petróleo y gas natural 
099|Actividades de apoyo a la explotación de otras minas y canteras n.c.p 
0990 0|Actividades de apoyo a la explotación de otras minas y canteras n.c.p 
C|INDUSTRIAS MANUFACTURERAS 
10|ELABORACIÓN DE PRODUCTOS ALIMENTICIOS 
101|Procesamiento y conservación de carne 
1010|Procesamiento y conservación de carne 
1010 1|Matanza de ganado vacuno y procesamiento de su carne 
1010 2|Matanza y procesamiento de carne de aves 
1010 3|Elaboración de fiambres y embutidos 
1010 4|Matanza de ganado porcino y procesamiento de su carne 
10109|Matanza de animales n.c.p. y procesamiento de su carne; elaboración de subproductos cárnicos n.c.p. 
102|Procesamiento y conservación de pescado, crustáceos y moluscos 
10200|Procesamiento y conservación de pescado, crustáceos y moluscos 
103|Procesamiento y conservación de frutas y hortalizas 
	
1030|Procesamiento y conservación de frutas y hortalizas 
1030 1|Procesamiento y conservación de frutas y hortalizas 
1030 2|Elaboración de jugos 
104|Elaboración de aceites y grasas de origen vegetal y animal 
1040 0|Elaboración de aceites y grasas de origen vegetal y animal 
105|Elaboración de productos lácteos 
1050|Elaboración de productos lácteos 
1050 1|Elaboración de leches y productos lácteos 
1050 2|Elaboración industrial de helados 
106|Elaboración de productos de molinería, almidones y productos derivados del almidón 
1061|Elaboración de productos de molinería 
1061 1|Molienda de arroz y fabricación de productos de arroz 
1061 2|Molienda de trigo y fabricación de productos de trigo 
1061 3|Molienda de maíz y fabricación de productos de maíz 
1061 9|Elaboración de otros productos de molinería n.c.p. 
1062 0|Elaboración de almidones y productos derivados del almidón 
107|Elaboración de alimentos preparados para animales 
1070 0|Elaboración de alimentos preparados para animales 
109|Elaboración de otros productos alimenticios n.c.p. 
1091|Elaboración de productos de panadería 
1091 1|Elaboración de galletitas y bizcochos 
1091 2|Elaboración de chipas 
1091 9|Elaboración de otros productos de panadería n.c.p. 
1092 0|Elaboración de azúcar 
1093 0|Elaboración de cacao, chocolate y de productos confitados 
1094 0|Elaboración de pastas alimenticias y productos farináceos similares 
1095 0|Tostado y molido de café y elaboración de productos de café 
1096|Elaboración de té y yerba mate 
1096 1|Elaboración de té 
1096 2|Elaboración de yerba mate 
1097 0|Elaboración de comidas y platos preparados 
1099|Elaboración de otros productos alimenticios n.c.p. 
1099 1|Elaboración de hielo 
1099 9|Elaboración de otros productos alimenticios n.c.p. 
11|ELABORACIÓN DE BEBIDAS 
111|Elaboración de bebidas alcohólicas 
1111 0|Destilación, rectificación y mezcla de bebidas alcohólicas 
1112 0|Elaboración de vinos 
1113 0|Elaboración de bebidas malteadas y de malta 
112|Elaboración de bebidas no alcohólicas 
1121 0|Producción de aguas minerales y sodas 
1129 0|Elaboración de otras bebidas no alcohólicas 
12|ELABORACIÓN DE PRODUCTOS DE TABACO 
120|Elaboración de productos de tabaco 
1200 0|Elaboración de productos de tabaco 
13|FABRICACIÓN DE PRODUCTOS TEXTILES, EXCEPTO PRENDAS DE VESTIR 
131|Hilandería, tejeduría y acabado de productos textiles 
1311|Preparación e hilandería de fibras textiles 
1311 1|Preparación e hilandería de fibras de algodón 
1311 9|Preparación e hilandería de otras fibras textiles naturales 
1312 0|Tejeduría de productos textiles 
1313 0|Acabado de productos textiles 
139|Fabricación de otros productos textiles n.c.p., excepto prendas de vestir 
1391 0|Fabricación de tejidos de punto y ganchillo 
	
1392 0|Fabricación de artículos confeccionados con materiales textiles, excepto prendas de vestir 
1393 0|Fabricación de tapices y alfombras 
1394 0|Fabricación de cuerdas, cordeles, bramantes y redes 
1399 0|Fabricación de otros productos textiles n.c.p. 
14|CONFECCIÓN DE PRENDAS DE VESTIR 
141|SERVICIO DE ENFERMERIA 
1410|Confección de prendas de vestir, excepto prendas de piel 
1410 1|Confección de prendas de vestir exterior, excepto prendas de cuero y piel 
1410 2|Confección de prendas de vestir interior 
1410 3|Confección de prendas de vestir de cuero, excepto prendas de piel 
142|Fabricación de artículos de piel 
1420 0|Fabricación de artículos de piel 
143|Fabricación de prendas de vestir de punto y ganchillo 
1430 0|Fabricación de prendas de vestir de punto y ganchillo 
15|FABRICACIÓN DE CUERO Y PRODUCTOS CONEXOS 
151|Curtido y terminación de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería; teñido de pieles 
15110|Curtido y terminación de cueros; teñido de pieles 
1512|Fabricación de maletas, bolsos de mano y artículos similares y de artículos de talabartería y guarnicionería 
1512 1|Fabricación de maletas, bolsos de mano y artículos similares 
1512 9|Fabricación de otros artículos de cuero n.c.p. 
152|Fabricación de calzado y sus partes 
1520|Fabricación de calzado 
1520 1|Fabricación de calzado de cuero 
1520 2|Fabricación de partes de cuero para calzado 
1520 9|Fabricación de calzado de otros materiales y sus partes 
	PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, 
16|EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES 
	TRENZABLES 
161|Aserrado y cepillado de madera 
16100|Aserrado y cepillado de madera 
162|Fabricación de productos de madera, corcho, paja y materiales trenzables 
16210|Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles 
16220|Fabricación de partes y piezas de carpintería para edificios y construcciones 
16230|Fabricación de recipientes de madera 
16290|Fabricación de otros productos de madera n.c.p.; fabricación de artículos de corcho, paja y materiales trenzables 
17|FABRICACIÓN DE PAPEL Y PRODUCTOS DE PAPEL 
170|Fabricación de papel y productos de papel 
17010|Fabricación de pasta de madera, papel y cartón 
17020|Fabricación de papel y cartón ondulado y de envases de papel y cartón 
17090|Fabricación de otros artículos de papel y cartón 
18|ACTIVIDADES DE IMPRESIÓN Y SERVICIOS DE APOYO; REPRODUCCIÓN DE GRABACIONES 
181|Actividades de impresión y servicios de apoyo 
1811|Actividades de impresión 
1811 1|Actividades de Imprenta 
1811 9|Actividades de impresión n.c.p. 
1812 0|Servicios relacionados con la impresión 
182|Reproducción de grabaciones 
1820 0|Reproducción de grabaciones 
19|FABRICACIÓN DE COQUE Y DE PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO 
	
191|Fabricación de productos de hornos de coque 
19100|Fabricación de productos de hornos de coque 
192|Fabricación de productos de la refinación del petróleo 
1920|Fabricación de productos de la refinación del petróleo 
19201|Elaboración de combustibles 
19209|Fabricación de otros productos de la refinación de petróleo n.cp. 
20|FABRICACIÓN DE SUSTANCIAS Y PRODUCTOS QUÍMICOS 
201|Fabricación de sustancias químicas básicas, abonos y compuestos de nitrógeno, plásticos y caucho sintético en formas primarias 
2011 0|Fabricación de sustancias químicas básicas 
2012 0|Fabricación de abonos y compuestos de nitrógeno 
2013 0|Fabricación de plásticos y caucho sintético en formas primarias 
202|Fabricación de biocombustibles 
2020|Fabricación de biocombustibles 
2020 1|Fabricación de alcohol 
2020 2|Elaboración de carbón vegetal por destilación de la madera 
2020 9|Frabricación de biocombustibles n.c.p 
203|Fabricación de fibras manufacturadas 
2030 0|Fabricación de fibras manufacturadas 
209|Fabricación de otros productos químicos n.c.p. 
2091 0|Fabricación de plaguicidas y productos químicos de uso agropecuario 
20920|Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas 
2093|Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador 
2093 1|Fabricación de jabones, detergentes y preparados de limpieza 
2093 2|Fabricación de cosméticos, perfumes y artículos de tocador 
2093 9|Fabricación de otros preparados para limpiar y pulir n.c.p. 
2099 0|Fabricación de otros productos químicos n.c.p. 
21|FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS 
210|Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos 
2100|Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos 
2100 1|Fabricación de medicamentos de uso humano 
2100 2|Fabricación de medicamentos de uso veterinario 
2100 3|Fabricación de productos farmacéuticos 
2100 4|Fabricación de productos botánicos 
22|FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO 
221|Fabricación de productos de caucho 
2211|Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho 
2211 1|Fabricación de cubiertas y cámaras de caucho 
2211 2|Recauchutaje y renovación de cubiertas de caucho 
2219 0|Fabricación de otros productos de caucho 
222|Fabricación de productos de plástico 
2221 0|Fabricación de envases de plástico 
2229 0|Fabricación de otros productos de plástico 
23|FABRICACIÓN DE PRODUCTOS DE MINERALES NO METÁLICOS 
231|Fabricación de vidrio y productos de vidrio 
2310|Fabricación de vidrio y productos de vidrio 
2310 1|Fabricación de vidrio plano 
2310 2|Fabricación de envases de vidrio 
2310 9|Fabricación de otros productos de vidrio n.c.p. 
239|Fabricación de otros productos de minerales no metálicos n.c.p. 
	
2391 0|Fabricación de productos de cerámica refractaria 
2392 0|Fabricación de materiales de arcilla para la construcción 
2393 0|Fabricación de otros productos de cerámica y porcelana 
2394 0|Fabricación de cemento, cal y yeso 
2395 0|Fabricación de artículos de hormigón, cemento y yeso 
2396 0|Corte, tallado y acabado de la piedra 
2399 0|Fabricación de otros productos de minerales no metálicos n.c.p. 
24|FABRICACIÓN DE METALES 
241|Fabricación básica de hierro y acero 
2410 0|Fabricación básica de hierro y acero 
242|Fabricación de productos primarios de metales preciosos y otros metales no ferrosos 
2420 0|Fabricación de productos primarios de metales preciosos y otros metales no ferrosos 
243|Fundición de metales 
2431 0|Fundición de hierro y acero 
2432 0|Fundición de metales no ferrosos 
25|FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIAS Y EQUIPOS 
251|Fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor 
2511 0|Fabricación de productos metálicos para uso estructural 
2512 0|Fabricación de tanques, depósitos y recipientes de metal 
2513 0|Fabricación de generadores de vapor, excepto calderas para calefacción central 
252|Fabricación de armas y municiones 
2520 0|Fabricación de armas y municiones 
259|Fabricación de otros productos elaborados de metal y servicios de trabajo de metales 
2591 0|Forja, prensado, estampado y laminado de metales; pulvimetalurgia 
2592 0|Mecanizado; tratamiento y revestimiento de metales 
2593 0|Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería 
2599|Fabricación de otros productos elaborados de metal n.c.p. 
2599 1|Fabricación de productos de alambre y otros artículos para la construcción 
2599 2|Fabricación de artículos de metal de uso doméstico 
2599 3|Fabricación de envases metálicos 
2599 9|Fabricación de otros productos elaborados de metal n.c.p. 
26|FABRICACIÓN DE EQUIPOS INFORMÁTICOS, ELECTRÓNICOS Y ÓPTICOS 
261|Fabricación de componentes electrónicos 
2610 0|Fabricación de componentes electrónicos 
262|Fabricación de equipos informáticos y periféricos 
2620 0|Fabricación de equipos informáticos y periféricos 
263|Fabricación de equipos de comunicaciones 
2630 0|Fabricación de equipos de comunicaciones 
264|Fabricación de aparatos electrónicos de consumo 
2640 0|Fabricación de aparatos electrónicos de consumo 
265|Fabricación de equipos para medir, verificar, ensayar, navegar y de control; artículos de relojería 
2651 0|Fabricación de equipos para medir, verificar, ensayar, navegar y de control 
2652 0|Fabricación de artículos de relojería 
266|Fabricación de equipos de irradiación, electromédicos y electroterapéuticos 
2660 0|Fabricación de equipos de irradiación, electromédicos y electroterapéuticos 
267|Fabricación de instrumentos ópticos y equipo fotográfico 
2670 0|Fabricación de instrumentos ópticos y equipo fotográfico 
268|Fabricación de soportes magnéticos y ópticos 
2680 0|Fabricación de soportes magnéticos y ópticos 
27|FABRICACIÓN DE MAQUINARIA Y EQUIPOS ELÉCTRICOS 
	
271|Fabricación de motores, generadores y transformadores eléctricos, aparatos de distribución y control de electricidad 
2710 0|Fabricación de motores, generadores y transformadores eléctricos, aparatos de distribución y control de electricidad 
272|Fabricación de pilas, baterías y acumuladores eléctricos 
2720 0|Fabricación de pilas, baterías y acumuladores eléctricos 
273|Fabricación de cables y aparatos de cableado 
2731 0|Fabricación de cables de fibra óptica 
2732 0|Fabricación de otros cables eléctricos y electrónicos 
2733 0|Fabricación de aparatos de cableado 
274|Fabricación de equipos de iluminación eléctricos 
2740 0|Fabricación de equipos de iluminación eléctricos 
275|Fabricación de aparatos de uso doméstico, excepto de audio y video 
2750 0|Fabricación de aparatos de uso doméstico, excepto de audio y video 
279|Fabricación de otros equipos eléctricos n.c.p. 
2790 0|Fabricación de otros equipos eléctricos n.c.p. 
28|FABRICACIÓN DE MAQUINARIAS Y EQUIPOS N.C.P. 
281|Fabricación de maquinaria de uso general 
28110|Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas 
2812 0|Fabricación de equipos hidráulicos 
2813 0|Fabricación de otras bombas, compresores, grifos y válvulas 
