CODIGO|DESCRIPCION
502|Transporte por vías fluviales de navegación 
5021 0|Transporte de pasajeros por vías fluviales 
5022 0|Transporte de carga por vías fluviales 
51|TRANSPORTE AÉREO 
511|Transporte aéreo de pasajeros 
5110 0|Transporte aéreo de pasajeros 
512|Transporte aéreo de carga 
5120 0|Transporte aéreo de carga 
52|ALMACENAMIENTO Y ACTIVIDADES AUXILIARES AL TRANSPORTE 
521|Depósito y almacenamiento 
5210 0|Depósito y almacenamiento 
522|Actividades auxiliares al transporte 
5221 0|Actividades auxiliares al transporte terrestre 
5222 0|Actividades auxiliares al transporte acuático 
5223 0|Actividades auxiliares al transporte aéreo 
5224 0|Manipulación de la carga 
5229|Otras actividades auxiliares al transporte n.c.p. 
5229 1|Actividades de los agentes de transporte aéreo 
	
5229 2|Actividades de los agentes de transporte terrestre 
5229 3|Actividades de los despachantes de Aduana 
5229 4|Otras actividades de los agentes de transporte marítimo y fluvial 
5229 9|Operación de manipulación de productos y otras actividades complementarias al transporte n.c.p. 
53|CORREO Y SERVICIOS DE MENSAJERÍA 
531|Correo 
5310 0|Correo 
532|Servicios de mensajería 
5320 0|Servicios de mensajería 
I|ALOJAMIENTO Y SERVICIOS DE COMIDAS 
55|ALOJAMIENTO 
551|Alojamiento en hoteles, pensiones y otras residencias de alojamiento temporal 
5510|Alojamiento en hoteles, pensiones y otras residencias de alojamiento temporal 
5510 1|Actividades de alojamiento en hoteles 
5510 2|Actividades de alojamiento en casas de huéspedes y moteles 
5510 9|Otros alojamientos de corto plazo n.c.p. 
552|Parques de caravanas, parques de remolques, campamentos de recreo y camping 
5520 0|Parques de caravanas, parques de remolques, campamentos de recreo y camping 
559|Otros tipos de alojamiento 
5590|Otros tipos de alojamiento 
5590 1|Actividades de alojamiento en pensiones familiares sin servicios 
5590 9|Otras actividades de alojamientos n.c.p. 
56|SERVICIOS DE COMIDAS Y BEBIDAS 
561|Restaurantes, bares y similares 
5610|Restaurantes, bares y similares 
5610 1|Restaurantes y parrilladas 
5610 2|Rotiserías 
5610 3|Heladerías que no elaboran el producto 
5610 9|Otros servicios de suministro de alimento para consumo inmediato n.c.p. 
562|Abastecimiento de eventos y otros servicios de comida 
5621 0|Abastecimiento de eventos 
5629 0|Otros servicios de comida n.c.p. 
563|Actividades vinculadas al servicio de bebidas 
5630 0|Actividades vinculadas al servicio de bebidas 
J|INFORMACIÓN Y COMUNICACIÓN 
58|EDICIÓN 
581|Edición de libros, periódicos y otras publicaciones, incluso integrada a la impresión 
5811 0|Edición de libros, incluso integrada a la impresión 
5812 0|Publicación de directorios y listas de direcciones, incluso integrada a la impresión 
5813 0|Edición de periódicos, diarios y revistas, incluso integrada a la impresión 
5819 0|Otras actividades de edición n.c.p., incluso integrada a la impresión 
582|Edición de software 
5820 0|Edición de software 
59|ACTIVIDADES CINEMATOGRÁFICAS; PRODUCCIÓN DE VÍDEOS Y PROGRAMAS DE TELEVISIÓN; GRABACIÓN SONORA Y DE EDICIÓN DE MÚSICA 
591|Actividades cinematográficas, de vídeo y de programas de televisión 
5911 0|Actividades de producción y post producción de películas, vídeos y programas de televisión 
5912 0|Actividades de distribución de películas, vídeos y programas de televisión 
5913 0|Actividades de proyección de películas 
592|Actividades de grabación sonora y edición de música 
5920 0|Actividades de grabación sonora y edición de música 
60|ACTIVIDADES DE PROGRAMACIÓN Y DIFUSIÓN DE RADIO Y TELEVISIÓN 
601|Actividades programación y difusión de radio 
	
6010 0|Actividades programación y difusión de radio 
602|Actividades programación y difusión de televisión 
6020|Actividades programación y difusión de televisión 
6020 1|Actividades de televisión abierta 
6020 2|Programadoras y actividades relacionadas con la televisión por suscripción 
61|TELECOMUNICACIONES 
610|Telecomunicaciones 
6100 1|Telecomunicaciones 
6100 2|Otros servicios relacionados con las telecomunicaciones n.c.p. 
62|ACTIVIDADES DE PROGRAMACIÓN Y CONSULTORÍAS INFORMÁTICAS Y OTRAS ACTIVIDADES CONEXAS 
620|Actividades de programación y consultoría informáticas y otras actividades conexas 
6201 0|Actividades de programación informática 
6202 0|Actividades de consultoría y gestión de servicios informáticos 
6209 0|Otras actividades de tecnología de la información y servicios informáticos 
63|ACTIVIDADES DE SERVICIOS DE INFORMACIÓN 
631|Procesamiento de datos, hospedaje y servicios conexos; portales Web 
6311 0|Procesamiento de datos, hospedaje y servicios conexos 
6312 0|Portales Web 
639|Otras actividades de servicios de información n.c.p. 
6391 0|Actividades de agencias de noticias 
6399 0|Otras actividades de servicios de información n.c.p. 
K|ACTIVIDADES FINANCIERAS Y DE SEGUROS 
64|INTERMEDIACIÓN FINANCIERA Y OTROS SERVICIOS FINANCIEROS, EXCEPTO LOS DE SEGUROS Y ADMINISTRACIÓN DE FONDOS DE JUBILACIONES Y PENSIONES 
641|Intermediación monetaria 
6411 0|Banca central 
6419 0|Otros tipos de intermediación monetaria 
642|Actividades de sociedades de cartera 
6420 0|Actividades de sociedades de cartera 
643|Inversión colectiva, fondos y otros instrumentos financieros similares 
6430 0|Inversión colectiva, fondos y otros instrumentos financieros similares 
649|Otros servicios financieros, excepto la financiación de planes de seguros y de pensiones 
6491|Otros tipos de créditos 
6491 1|Otorgamiento de crédito sin aval bancario 
6491 2|Actividad de las casas de empeño 
6491 3|Actividad de los prestamistas 
6491 4|Actividad de los círculos de ahorro 
64990|Otras actividades de servicios financieros, excepto la financiación de planes de seguros y de pensiones 
65|SEGUROS, REASEGUROS Y FONDOS DE PENSIONES, EXCEPTO LOS PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA 
651|Planes de seguros 
6511 0|Seguros de vida 
6512|Seguros generales 
6512 6|Seguros médicos y odontológicos 
6512 7|Seguros patrimoniales 
6512 8|Seguros de sepelio 
6512 9|Otros seguros generales n.c.p. 
652|Planes de reaseguros 
6520 0|Planes de reaseguros 
653|Fondos de pensiones 
6530 0|Fondos de pensiones 
66|ACTIVIDADES AUXILIARES A LOS SERVICIOS FINANCIEROS Y A LOS SEGUROS 
	
661|Actividades auxiliares de la intermediación financiera, excepto la financiación de planes de seguros y de pensiones 
6610 0|Actividades auxiliares de la intermediación financiera, excepto la financiación de planes de seguros y de pensiones 
662|Actividades auxiliares de seguros y de pensiones 
6621 0|Evaluación de riesgos y daños 
6622 0|Actividades de los agentes y corredores de seguro 
6629 0|Otras actividades auxiliares de seguros y fondos de pensiones n.c.p 
663|Actividades de administración de fondos 
6630 0|Actividades de administración de fondos 
L|ACTIVIDADES INMOBILIARIAS 
68|ACTIVIDADES INMOBILIARIAS 
681|Actividades inmobiliarias realizadas con bienes propios o arrendados 
6810 0|Actividades inmobiliarias realizadas con bienes propios o arrendados 
682|Actividades inmobiliarias realizadas a cambio de una retribución o por contrata 
6820|Actividades inmobiliarias realizadas a cambio de una retribución o por contrata 
6820 1|Intermediación en la compra, venta y arrendamiento de inmuebles 
6820 2|Avalúos de inmuebles 
6820 3|Arrendamiento de inmuebles rurales 
6820 9|Otras actividades inmobiliarias realizadas a cambio de una retribución o por contrata n.c.p 
M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS 
69|ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD 
691|Actividades jurídicas y notariales 
6910|Actividades de servicios jurídicos y notariales 
6910 7|Actividades Jurídicas (Abogado) 
6910 8|Actividades Notariales 
6910 9|Otras actividades jurídicas y notariales n.c.p. 
692|Actividades de contabilidad, teneduría de libros, auditoria y asesoria fiscal 
6920|Actividades de contabilidad, teneduría de libros, auditoria y asesoria fiscal 
6920 1|Actividades de contabilidad, teneduría de libros (Contador) 
6920 2|Servicios de auditoria y asesoramiento en materia de impuestos (Auditor-Asesor Impositivo) 
6920 7|Servicios de Auditoria Externa Impositiva (Art. 33o LEY 2421/04) 
6920 8|Otros Servicios Autorizados 
6920 9|Actividades de contabilidad, teneduría de libros, auditoria y asesoria fiscal n.c.p. 
70|ACTIVIDADES DE LAS OFICINAS CENTRALES Y CONSULTORÍA DE GESTIÓN EMPRESARIAL 
701|Actividades de las oficinas centrales 
70100|Actividades de las oficinas centrales 
702|Actividades de servicios de consultoría en gestión empresarial 
7020|Actividades de servicios de consultoría en gestión empresarial 
70201|Servicios de contabilidad, administración y asesoramiento de empresas, excepto los prestados por profesionales independientes 
70209|Otras actividades de administración y consultoría de administración de empresas n.c.p. 
71|SERVICIOS DE ARQUITECTURA E INGENIERÍA; ENSAYOS Y ANÁLISIS TÉCNICOS 
711|Actividades de servicios de arquitectura e ingeniería y actividades conexas de asesoramiento técnico 
7110|Actividades de servicios de arquitectura e ingeniería y actividades conexas de asesoramiento técnico 
7110 1|Actividades de servicios de arquitectura 
7110 2|Actividades de servicios de diseño de paisajes 
7110 3|Actividades de servicios de ingeniería 
7110 9|Otras actividades de servicios de arquitectura e ingeniería n.c.p 
712|Ensayos y análisis técnicos 
7120 0|Ensayos y análisis técnicos 
72|INVESTIGACIÓN Y DESARROLLO 
	
721|Investigación y desarrollo experimental en ciencias naturales e ingeniería 
7210 0|Investigación y desarrollo experimental en ciencias naturales e ingeniería 
722|Investigación y desarrollo experimental en ciencias sociales y las humanidades 
7220 0|Investigación y desarrollo experimental en ciencias sociales y las humanidades 
73|PUBLICIDAD E INVESTIGACIÓN DE MERCADOS 
731|Actividades publicitarias 
7310 0|Actividades publicitarias 
732|Investigación de mercados y encuestas de opinión pública 
7320 0|Investigación de mercados y encuestas de opinión pública 
74|OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS 
741|Actividades de diseño especializado 
7410 0|Actividades de diseño especializado 
742|Actividades de fotografía 
7420 0|Actividades de fotografía 
749|Otras actividades profesionales, científicas y técnicas n.c.p. 
7490|Otras actividades profesionales, científicas y técnicas n.c.p. 
7490 1|Actividades de traducción e interpretación 
7490 2|Actividades de consultoría en agronomía 
7490 3|Actividades de servicios de consultoría ambiental 
7490 4|Actividades de meteorología 
7490 9|Otras actividades profesionales, científicas y técnicas n.c.p. 
75|ACTIVIDADES VETERINARIAS 
750|Actividades veterinarias 
7500 0|Actividades veterinarias 
N|ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO 
77|ACTIVIDADES DE ALQUILER Y ARRENDAMIENTO, EXCEPTO INMUEBLES, Y GESTIÓN DE LOS ACTIVOS INTANGIBLES NO FINANCIEROS 
771|Actividades de alquiler y arrendamiento de vehículos automotores sin conductor 
77100|Actividades de alquiler y arrendamiento de vehículos automotores sin conductor 
772|Alquiler y arrendamiento de efectos personales y enseres domésticos 
77210|Alquiler de cintas de vídeo y discos 
77290|Alquiler y arrendamiento de otros efectos personales y enseres domésticos n.c.p. 
773|Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes materiales n.c.p. sin operario 
7730|Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes materiales n.c.p. sin operario 
77301|Alquiler y arrendamiento de maquinaria agropecuaria sin operario 
77302|Alquiler y arrendamiento de maquinaria para la construcción sin operario 
77309|Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes materiales n.c.p. sin operario 
774|Arrendamiento de activos intangibles no financieros 
7740 0|Arrendamiento de activos intangibles no financieros 
78|ACTIVIDADES RELACIONADAS CON EL SUMINISTRO DE EMPLEO 
780|Actividades relacionadas con el suministro de empleo 
7800 0|Actividades relacionadas con el suministro de empleo 
79|AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS Y ACTIVIDADES CONEXAS 
791|Actividades de las agencias de viajes y operadores turísticos 
7911 0|Actividades de las agencias de viajes 
7912 0|Actividades de los operadores turísticos 
799|Otros servicios de turismo n.c.p. 
7990 0|Otros servicios de turismo n.c.p. 
80|ACTIVIDADES DE INVESTIGACIÓN Y SEGURIDAD 
800|Actividades de investigación y seguridad 
8000 0|Actividades de investigación y seguridad 
	
81|SERVICIOS DE APOYO A EDIFICIOS Y ACTIVIDADES DE LIMPIEZA EN GENERAL; SERVICIOS DE PAISAJISMO Y JARDINERÍA 
811|Actividades de servicios de mantenimiento a edifícios e instalaciones 
8110 0|Actividades de servicios de mantenimiento a edifícios e instalaciones 
812|Actividades de limpieza 
8121 0|Limpieza general de edificios 
8129 0|Otras actividades de limpieza de edificios e industrial 
813|Servicios de paisajismo y jardinería 
8130 0|Servicios de paisajismo y jardinería 
82|ACTIVIDADES ADMINISTRATIVAS DE OFICINAS Y OTRAS ACTIVIDADES AUXILIARES DE LAS EMPRESAS 
821|Servicios de apoyo a la administración de oficinas y empresas 
82110|Servicios de administración de oficinas 
82190|Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo administrativo 
822|Actividades de las centrales de llamadas 
8220 0|Actividades de las centrales de llamadas 
823|Organización de convenciones y ferias de negocios 
8230 0|Organización de convenciones y ferias de negocios 
829|Actividades de servicios de apoyo a empresas n.c.p. 
8291 0|Actividades de agencias de cobro y oficinas de crédito 
8292 0|Actividades de envase y empaque 
8299|Otras actividades de servicios de apoyo a empresas n.c.p. 
8299 7|Actividades de Usuario Zona Franca 
8299 8|Actividades de Concesionario Zona Franca 
8299 9|Otras actividades de servicios de apoyo a empresas n.c.p. 
O|ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURO SOCIAL OBLIGATORIO 
84|ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURO SOCIAL OBLIGATORIO 
841|Actividades de la administración pública en general 
8411 0|Actividades de la administración pública en general 
84120|Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales y otros servicios sociales, excepto servicios de seguridad social 
8413 0|Regulación y facilitación de la actividad económica 
842|Prestación de servicios a la comunidad en general 
8421 0|Relaciones exteriores 
8422 0|Actividades de defensa 
8423 0|Actividades de mantenimiento del orden público y de seguridad 
843|Actividades de planes de seguro social obligatorio 
8430 0|Actividades de planes de seguro social obligatorio 
P|ENSEÑANZA 
85|ENSEÑANZA 
851|Enseñanza inicial, primaria 
8510|Enseñanza inicial, primaria 
8510 1|Guarderías y jardines maternales 
8510 2|Enseñanza prescolar, primaria 
852|Enseñanza secundaria 
8521 0|Enseñanza secundaria de formación general 
8522 0|Enseñanza secundaria de formación técnica y profesional 
853|Enseñanza superior 
8530 0|Enseñanza superior 
854|Otros tipos de enseñanza 
8541 0|Educación deportiva y recreativa 
8542 0|Educación cultural 
8549 0|Otros tipos de enseñanza n.c.p. 
855|Servicios de apoyo a la enseñanza 
	
8550 0|Servicios de apoyo a la enseñanza 
Q|SALUD HUMANA Y SERVICIOS SOCIALES 
86|ACTIVIDADES DE ATENCIÓN A LA SALUD HUMANA 
861|Actividades de hospitales 
8610 0|Actividades de hospitales 
862|Actividades de médicos y odontólogos 
8620 0|Actividades de médicos y odontólogos 
869|Otras actividades relacionadas con la salud humana 
8690|Otras actividades relacionadas con la salud humana 
8690 1|Actividades de laboratorios de análisis clínicos y centros de diagnósticos 
8690 9|Otras actividades relacionadas con la salud humana 
87|ASISTENCIA SOCIAL RELACIONADA CON LA ATENCIÓN A LA SALUD 
870|Asistencia social relacionada con la atención a la salud 
8700 0|Asistencia social relacionada con la atenciõn a la salud 
88|SERVICIOS SOCIALES SIN ALOJAMIENTO 
880|Servicios sociales sin alojamiento 
8800 0|Servicios sociales sin alojamiento 
R|ARTE, ENTRETENIMIENTO Y RECREACIÓN 
90|ACTIVIDADES ARTÍSTICAS Y DE ESPECTÁCULOS 
900|Actividades artísticas y de espectáculos 
9000 0|Actividades artísticas y de espectáculos 
91|ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES 
910|Actividades de bibliotecas, archivos, museos y otras actividades culturales 
9101 0|Actividades de bibliotecas y archivos 
9102 0|Actividades de museos y preservación de lugares y edificios históricos 
9103 0|Actividades de jardines botánicos y zoológicos y de reservas naturales 
92|ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS 
920|Actividades de juegos de azar y apuestas 
9200 0|Actividades de juegos de azar y apuestas 
93|ACTIVIDADES DEPORTIVAS Y DE ENTRETENIMIENTO 
931|Actividades deportivas y de entretenimiento 
9311 0|Administración de instalaciones deportivas 
9312 0|Actividades de clubes deportivos 
9319 0|Actividades deportivas 
932|Otras actividades de diversión y entretenimiento 
9321 0|Actividades de parques de atracciones y parques temáticos 
9329 0|Otras actividades de diversión y entretenimiento n.c.p. 
S|OTRAS ACTIVIDADES DE SERVICIOS 
94|ACTIVIDADES DE ASOCIACIONES 
941|Actividades de organizaciones empresariales, profesionales y de empleadores 
9411 0|Actividades de organizaciones empresariales y de empleadores 
9412 0|Actividades de organizaciones profesionales 
942|Actividades de sindicatos 
9420 0|Actividades de sindicatos 
949|Actividades de otras asociaciones n.c.p. 
9491 0|Actividades de organizaciones religiosas 
9492 0|Actividades de organizaciones políticas 
9499|Actividades de otras asociaciones n.c.p. 
9499 1|Actividades de las comisiones de fomento escolares 
9499 9|Actividades de las sociedades literarias, cívicas y sociales y otras organizaciones n.c.p. 
95|REPARACIÓN DE EQUIPOS INFORMÁTICOS Y DE COMUNICACIÓN; EFECTOS DE USO PERSONAL Y DOMÉSTICO 
951|Reparación de equipos informáticos y de comunicaciones 
	
9511 0|Reparación de equipos informáticos y periféricos 
9512 0|Reparación de equipos de comunicaciones 
952|Reparación de efectos de uso personal y doméstico 
9521 0|Reparación de aparatos eléctricos de consumo 
9522 0|Reparación de aparatos domésticos y equipamiento de hogar y jardín 
9523 0|Reparación de calzado y artículos de cuero 
9524 0|Reparación de muebles y accesorios para el hogar 
9529|Reparación de efectos de uso personal y doméstico n.c.p. 
9529 1|Reparación de bicicletas y similares 
9529 2|Reparación de relojes, joyas y cronómetros 
9529 3|Reparación y modificación de ropa 
9529 9|Reparación de otros bienes personales y domésticos n.c.p. 
96|OTRAS ACTIVIDADES DE SERVICIOS PERSONALES 
960|Otras actividades de servicios personales 
9601|Lavado y limpieza de prendas de tela y de piel, incluso la limpieza en seco 
9601 1|Servicios de lavaderías de ropa 
9601 2|Servicios de tintorerías y limpieza a seco 
9601 9|Otros servicios de limpieza de prendas y de otros artículos n.c.p. 
9602 0|Peluquería y otros tratamientos de belleza 
9603 0|Pompas fúnebres y actividades conexas 
9609|Otras actividades de servicios personales n.c.p. 
9609 1|Servicios de baños de vapor y de sol (solarios) 
9609 2|Servicios de agencias matrimoniales y similares 
9609 3|Actividades de quiromancia, astrología, espiritismo, tarot, etc. 
9609 4|Servicios de masajes reductores y de adelgazamiento 
9609 5|Actividades de prostíbulos y similares 
9609 8|Servicios personales para el sector público 
9609 9|Otras actividades de servicios personales n.c.p. 
T|ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES DE PERSONAL DOMÉSTICO 
97|ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES DE PERSONAL DOMÉSTICO 
970|Actividades de los hogares como empleadores de personal domestico 
9700 0|Actividades de los hogares como empleadores de personal doméstico 
U|ACTIVIDADES DE ORGANIZACIONES Y ORGANISMOS EXTRATERRITORIALES 
99|ACTIVIDADES DE ORGANIZACIONES Y ORGANISMOS EXTRATERRITORIALES 
990|Actividades de organizaciones y organismos extraterritoriales 
9900 0|Actividades de organizaciones y organismos extraterritoriales 
9999 9|Sin código equivalent